실시일자,구분,중점 점검 주제,점검 리더,확인자
2026-05-18,주간 정기 TBM,"[W21] 
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까. 신종일 부장입니다.
이번 주도 안전운행과 무사고를 위해 아래 안전보건 수칙을 철저히 숙지해 주시기 바랍니다.

1. 하절기 온열질환(열중증) 예방

최근 한낮 기온이 크게 오르고 있습니다.
작업 중 어지러움, 두통, 메스꺼움 등이 느껴지면 즉시 작업을 중단하고
그늘진 곳에서 휴식을 취해주십시오.
얼음물 준비는 6월부터 진행될 예정이오니,
그전까지는 센터 내 정수기를 이용하여 수시로 수분을 보충해 주시기 바랍니다.

2. 상하차 및 차량 안전점검

화물차 접안 시 반드시 바퀴 고임목(카스토퍼) 설치 상태를 확인 해 주십시오.
기온 상승에 대비해 타이어 마모 상태 및 공기압을 사전 점검해 주시기 바랍니다.

3. [업무 안내] 대리점 이관건 프로세스 변경 예고

대리점 간 이관품 분실 및 책임 공방을 방지하기 위해,
조만간 이관 물품에 대한 '이관서 서명 인수인계'가 의무화될 예정입니다.
(일반 클레임 회수와 동일 방식) _ 6월부터 시행 예정
세부 시행 일자는 확정되는 대로 재공지하겠으니 미리 인지해 주시기 바랍니다.",신종일 부장,한진미 대리
2026-05-26,주간 정기 TBM,"[W22] 
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까, 신종일 부장입니다.
이번 주 TBM은 상.하차 작업 시 가장 많이 하는 행동으로 적재함 오르거나 내려올 때에
대해 TBM을 실시 하겠습니다.
아래 안전 수칙을 철저히 숙지하시어 단 한건의 부상도 없는 안전한 주간을 만들어 주시기 바랍니다.

1. 적재함 오르내릴 때 '3점 지지' 필수
- 적재함에 오르거나 내려올 때, 절대 뛰어내리지 마십시오. 무릎과 척추에 큰 충격을 줄 뿐만
  아니라 발헛디딤으로 인한 큰 부상으로 이어집니다.

- 손과 발 중 최소 3곳이 차량 몸체나 발판에 닿아 지지하는 '3점 지지(3-Point contact)'
  상태를 유지하며 안전하게 이동해 주십시오.

2. 상차 작업 중 발헛디딤 및 미끄러짐 주의
- 최근 날씨 변화 및 현장 여건에 따라 적재함 바닥에 빗물, 오일, 혹은 포장재 찌꺼기 등이 있으면 쉽게 미끄러질 수 있습니다. 작업 전 적재함 바닥 상태를 반드시 확인해 주십시오.
- 부품을 들고 이동할 때는 시야를 확보하고, 적재함 끝단(모서리) 부분에서는 발을 헛디디지 않도록 각별히 주의해 주시기 바랍니다.

3. 안전화 상시 착용
- 현장 및 적재함 내 미끄러짐을 방지하는 가장 첫 번째 방어선은 안전화입니다.
바닥 마모가 심한 안전화는 미리 교체해 주시고, 작업 중에는 반드시 안전화를 제대로 착용해 주십시오.",신종일 부장,한진미 대리
2026-06-01,주간 정기 TBM,"[W23]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까, 신종일 부장입니다.
본격적인 무더위가 시작되는 6월의 첫 주(W23)입니다.

이번 주 TBM은 하절기 현장 작업 시 가장 주의해야 할 '온열질환 예방'과
'화물차 안전 운행'을 주제로 실시하겠습니다.

아래 안전 수칙을 철저히 숙지하시어,
더위 속에서도 단 한 건의 안전사고 없는 쾌적한 주간을 만들어 주시기 바랍니다.

1. 온열질환 예방 핵심: 물, 그늘, 휴식
땀을 많이 흘리는 상하차 작업 전후로, 센터 내 비치된 시원한 얼음물과 정수기를 이용하여 수시로 수분을 섭취해 주십시오. (당장은 정수기 물 사용 부탁드립니다.)
_ 6월 2주차 부터 얼음물 준비 하겠습니다.

작업 중 두통, 어지러움, 메스꺼움 등의 초기 증상이 느껴지면 절대 무리하지 마시고
즉시 작업을 중단한 후 그늘에서 휴식을 취하셔야 합니다.

2. 화물차 하이패스 차로 진입 규정 준수
4.5톤 이상 화물차는 고속도로 톨게이트 진입 시 반드시 화물차 전용(측정) 차로를 이용해 주셔야 합니다. 하이패스 오진입으로 인한 급정거나 무리한 차선 변경은 대형 사고로 이어질 수 있으니 각별히 주의해 주십시오.

3. 센터 내 주·정차 시 '고임목' 필수 설치
르노 안전 순찰 대비 및 차량 밀림 사고 예방을 위해,
센터 내 대기 주차 시 예외 없이 바퀴에 고임목(카스토퍼)을 100% 설치해 주시기 바랍니다.",신종일 부장,한진미 대리
2026-06-08,주간 정기 TBM,"[W24]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까, 신종일 부장입니다.
어느덧 6월의 두 번째 주(W24)에 접어들었습니다.
본격적인 여름 더위와 함께 장마철이 다가오고 있는 만큼,
이번 주 TBM은 하절기 도로 및 현장에서 발생할 수 있는 위험 요인 예방을 주제로
실시하겠습니다.

아래 안전 수칙을 철저히 숙지하시어 이번 주도 안전하고 쾌적한 운행 부탁드립니다.

1. 빗길 수막현상 주의 및 타이어/와이퍼 점검

갑작스러운 우천 시 도로에 수막현상이 발생하여 제동 거리가 평소보다 1.5배 이상 길어집니다. 빗길 운행 시 반드시 20% 이상 감속 운행해 주십시오.
운행 전 타이어 마모 상태와 와이퍼 작동 여부를 필히 점검해 주시기 바랍니다.

2. 도크장 및 적재함 빗물 미끄러짐(전도) 주의

비가 오거나 습한 날씨에는 하역장 도크 바닥과 화물차 적재함 바닥이 매우 미끄럽습니다.
상하차 작업 시 절대 서두르지 마시고, 적재함을 오르내릴 때는 반드시 '3점 지지'를 유지하며 안전하게 이동해 주십시오.

3. 여름철 식곤증 및 졸음운전 예방

에어컨을 켠 채 창문을 닫고 장시간 운행하면 차량 내 이산화탄소 농도가 높아져 급격한 졸음이 몰려옵니다. 1시간마다 창문을 열어 환기해 주시고, 졸음이 올 때는 무조건 졸음쉼터나 휴게소에서 짧게라도 휴식을 취하십시오.

4. 지게차 청결 관리 리마인드

지난주 전 지게차 세차 및 먼지털이 비치 조치 이후, 자발적인 관리 덕분에 현장 장비가 아주 깨끗하게 유지되고 있습니다. 앞으로도 틈나실 때마다 내 차처럼 가볍게 먼지를 털어주시면 감사하겠습니다.",신종일 부장,한진미 대리
2026-06-15,주간 정기 TBM,"[W25]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까, 신종일 부장입니다.
본격적인 무더위가 기승을 부리는 6월의 셋째 주(W25)입니다.
더운 날씨에 체력이 떨어지면 집중력도 함께 저하되어 평소보다 아차사고 발생 확률이 높아집니다.
이번 주 TBM은 우리 현장의 가장 기본이자 핵심인 '지게차 안전'과 '근골격계 질환 예방'을
주제로 실시하겠습니다. 아래 수칙을 반드시 읽고 현장에서 실천해 주시기 바랍니다.

1. 지게차 사각지대 주의 및 사내 규정 속도 엄수

부품 적재 및 이동 시 화물에 시야가 가려지는 '사각지대'에서 충돌 사고가 가장 많이 발생합니다. 시야 확보가 어려울 때는 반드시 후진 주행을 원칙으로 해주십시오.
센터 내 지게차 및 화물차 이동 시 사내 규정 속도(10km/h 이하)를 절대 준수하고,
코너를 돌 때는 반드시 경적을 울려 주변 작업자에게 위치를 알려야 합니다.

2. 중량물 취급 시 올바른 자세 유지 (허리 부상 예방)

무거운 부품 박스를 들어 올릴 때는 허리를 숙이지 말고, 무릎을 굽혀 화물을 몸에 최대한 밀착시킨 상태에서 하체의 힘으로 일어나야 허리 디스크를 예방할 수 있습니다.
혼자 들기 버거운 중량물은 절대 무리하지 마시고, 반드시 동료와 함께 들거나 대차, 지게차 등 운반 보조 기구를 적극 활용해 주십시오.

3. 수분 섭취 및 적절한 휴식 리마인드

땀을 많이 흘린 후에는 센터 내 비치된 식염 포도당과 얼음물을 수시로 챙겨 드시고, 어지럼증이 느껴지면 즉시 그늘에서 쉬어야 합니다.",신종일 부장,한진미 대리
2026-06-22,주간 정기 TBM,"[W26]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까. 신종일 부장입니다.
어느덧 상반기를 마무리하는 6월의 마지막 주(W26)입니다.
본격적인 장마와 찜통더위가 교차하면서 불쾌지수가 높아지고 체력이 쉽게 방전될 수 있는
시기입니다. 이럴 때일수록 평소보다 한 템포 여유를 가지는 것이 사고를 예방하는 가장 확실한 방법입니다.
이번 주 TBM 핵심 안전 수칙을 안내해 드립니다. 필히 숙지해 주시기 바랍니다.

1. 장마철 윙바디 차량 관리 및 미끄러짐(전도) 주의

국지성 호우 시 윙(날개) 개폐 과정에서 빗물이 적재함 내부로 들이치거나 부품이 젖지 않도록 하역장 도크 접안 시 각별히 주의해 주십시오.

비에 젖은 적재함 바닥은 스케이트장처럼 미끄럽습니다.
화물차 승하차 및 내부 작업 시 반드시 '3점 지지'를 유지하며 천천히 이동해 주십시오.

2. 우천 시 지게차 제동거리 증가 및 충돌 예방

비가 오거나 습도가 높은 날에는 하역장 바닥에 물기가 스며들어 지게차의 제동거리가 평소보다 길어집니다.
평소보다 속도를 더욱 줄여 사내 규정 속도(10km/h 이하)를 철저히 지켜주시고, 빗물이나 땀으로 인해 시야가 좁아질 수 있으니 코너 진입 전 반드시 경적을 울려 보행자와 타 장비에 위치를 알려주십시오.

3. 온열질환 예방 수칙 생활화

사무실에서는 매일 가장 더운 시간대(13~15시)의 체감온도를 측정하며 현장 위험도를 철저히 관리하고 있습니다. 기사님들께서도 상하차 작업 시 무리하지 마시고, 센터에 비치된 식염 포도당과 시원한 물을 수시로 섭취해 주시기 바랍니다.

👇 아래 [투표]에 참여하셔야 이번 주 W26 TBM 안전교육 이수가 완료됩니다. (실명 투표 필수)",신종일 부장,한진미 대리
2026-06-29,주간 정기 TBM,"[W27]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까. 신종일 부장입니다.
본격적인 장마가 시작되는 7월 첫째 주(W27) TBM을 전파합니다.
이번 주도 아래 세 가지 핵심 수칙을 가슴에 새기고 안전하게 작업을 시작해 주십시오.

1. 하역장 및 윙바디 적재함 미끄러짐(전도) 사고 절대 주의
젖은 바닥과 철판 적재함은 빙판길과 같습니다. 반드시 미끄럼 방지 안전화를 단정히 착용해 주십시오.
윙바디 개폐 및 상하차 시 절대 뛰지 말고, 보폭을 줄여 천천히 이동해 주십시오.

2. 빗길 수배송 운행 시 감속 및 안전거리 확보
빗길 제동거리는 평소보다 30% 이상 길어집니다. 규정 속도보다 20% 이상 감속하시고, 앞차와의 안전거리는 평소의 2배 이상 넉넉히 확보해 주십시오.
대리점 진입 시 시야 확보가 어렵다면 무리하게 진입하지 마시고, 안전한 공간에서 하차를 진행해 주십시오.

3. 지게차 안전 기준 엄수 (10km/h & 1.5m)
센터 내 지게차 제한속도 10km/h를 반드시 지켜주십시오.
보행자 및 타 장비와 최소 1.5m 이상의 안전거리를 유지하고, 코너 진입 시에는 반드시 경적을 울려 내 위치를 알려야 합니다.

✅ [알림] 7월 정기 안전보건교육이 7/1일 안내될 예정입니다.
 '7월 정기 안전보건교육 영상'을 반드시 시청하시고, 구글 폼 이수 확인서를 꼭 제출해 주시기 바랍니다.

비가 오고 습한 날씨에 불쾌지수가 높아지기 쉽지만, 서로 배려하고 양보하며 안전하고
기분 좋게 W27 한 주를 시작해 봅시다. 오늘도 무사고 응원합니다!",신종일 부장,한진미 대리
2026-07-06,주간 정기 TBM,"[W28]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

📢 하절기 온열질환 예방 및 지게차 기본 에티켓 준수

안녕하십니까. 신종일 부장입니다.
무더위와 국지성 호우가 교차하는 7월 둘째 주(W28) TBM을 전파합니다.

본격적인 폭염이 시작되면서 현장 체감온도가 크게 올라가고 있습니다.
사우님들의 건강과 안전이 최우선인 만큼, 이번 주도 아래 세 가지 핵심 수칙을 반드시
숙지하시고 작업에 임해 주시기를 당부드립니다.

1. 폭염 대비 온열질환 예방 수칙 준수 (물, 그늘, 휴식)

냉동실에 넉넉히 비치된 시원한 얼음물을 적극 활용하여 수분을 충분히 보충해 주십시오.
작업 중 어지러움이나 두통 등 온열질환 이상 증세가 느껴지면 즉시 작업을 멈추고 그늘에서 휴식을 취한 뒤, 관리자에게 알려주시기 바랍니다.

2. 공용 지게차 청결 유지 및 에티켓 준수

지급받으신 생수를 다 드신 후, 빈 페트병을 지게차 컵홀더나 하역장에 방치하지 마시고
반드시 본인이 직접 분리수거장에 폐기해 주십시오.

지게차는 교대로 사용하는 소중한 공용 장비입니다.
다음 근무자를 위해 내부 청결을 쾌적하게 유지해 주십시오.

3. 장마철 빗길 감속 운행 및 하역장 미끄러짐 주의

비가 오는 날에는 제동거리가 평소보다 길어지므로 20% 이상 감속하고 앞차와의
안전거리를 충분히 확보해 주십시오.
젖은 윙바디 철판과 하역장 바닥은 매우 미끄럽습니다.
상하차 시 절대 뛰지 말고 천천히 이동해 주십시오.

덥고 습한 날씨에 불쾌지수가 높아지기 쉽지만, 우리 사우님들 모두 서로를 배려하는 마음으로 안전하게 W28 한 주를 시작해 봅시다. 오늘도 무사 복귀를 응원합니다!",신종일 부장,한진미 대리
2026-07-13,주간 정기 TBM,"[W29]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

📢 [W29 TBM] 하절기 폭염·폭우 대비 안전 운행 및 현장 기본 질서 확립

안녕하십니까. 신종일 부장입니다.
본격적인 장마와 무더위가 기승을 부리는 7월 셋째 주(W29) TBM을 전파합니다.

고온 다습한 날씨에 현장에서 땀 흘리시는 사우님들의 노고에 항상 감사드립니다.
이번 주는 날씨로 인한 안전사고 위험이 높은 만큼, 아래의 수칙들을 가슴에 새기고
안전하게 한 주를 시작해 주시기 바랍니다.

1. 장마철 하역장 미끄러짐 및 빗길 제동거리 주의

수시로 내리는 비로 인해 하역장 바닥과 윙바디 철판이 매우 미끄럽습니다.
상하차 작업 시 절대 뛰지 마시고, 미끄럼 방지 안전화를 단정히 착용해 주십시오.
빗길 운행 시 제동거리가 평소의 1.5배 이상 길어집니다.
규정 속도보다 20% 이상 감속하시고, 앞차와의 안전거리 및 브레이크 상태를 수시로 확인해 주십시오.

2. 폭염 특보 발령 시 온열질환 예방 철저

체감온도가 높은 무더위 시간대에는 무리한 작업을 피하고, 냉동실에 비치된 얼음물을 챙겨 수분을 수시로 보충해 주십시오.
작업 중 어지러움, 현기증 등이 발생하면 지체 없이 작업을 멈추고 그늘에서 휴식 후 관리자에게 즉시 알려주셔야 합니다.

3. 밀폐된 차량 내 에어컨 가동 시 졸음운전 주의

더위로 인해 창문을 모두 닫고 에어컨을 장시간 가동하면,
차량 내 이산화탄소 농도가 짙어져 심각한 졸음운전을 유발할 수 있습니다.

1시간 운행 후에는 반드시 창문을 열어 3분 이상 환기를 시켜주시고, 운행 중 피로감이 느껴지시면 절대 무리하지 마시고 졸음쉼터나 휴게소에서 짧게라도 휴식을 취해 주십시오.


덥고 습한 날씨로 인해 작은 일에도 예민해지기 쉬운 시기입니다. 하지만 우리 삼우F&G 사우님들 특유의 팀워크로 이번 W29 한 주도 기분 좋고 안전하게 이겨내 봅시다.
오늘도 무사 복귀를 응원합니다!",신종일 부장,한진미 대리
2026-07-20,주간 정기 TBM,"[W30]
르노코리아그룹 함안부품센터 정기TBM (Tool Box Meeting) 공지

안녕하십니까, 신종일 부장입니다.
무더위가 절정에 달하는 7월 넷째 주(W30) TBM을 전파합니다.

최근 센터 내 상하차 지연 문제와 폭염으로 인해 대기 시간이 길어지면서
우리 사우님들의 피로도가 그 어느 때보다 높을 것으로 생각됩니다.
힘든 상황 속에서도 묵묵히 안전 배송에 힘써주시는 사우님들께 깊은 감사의 말씀을 드리며, 이번 주도 아래 안전 수칙을 반드시 준수해 주시기를 당부드립니다.

1. 상하차 지연에 따른 조급한 운행 및 과속 절대 금지

센터 내 하역 지연으로 인해 배차 및 납품 스케줄이 촉박해지더라도, 도로나 빗길에서 무리하게 속도를 내거나 난폭 운전을 하는 것은 절대 금물입니다.
배송 시간보다 사우님들의 안전이 최우선입니다. 항상 규정 속도를 준수하고 여유로운 마음으로 안전 운행에 임해 주십시오.

2. 혹서기 차량 내 장시간 대기 시 온열질환 주의

대기 열에서 장시간 대기하실 때, 에어컨을 가동하더라도 틈틈이 창문을 열어 차량 내부를
환기해 주십시오.
체온 상승을 막기 위해 냉동실에 비치된 얼음물을 반드시 지참하시어 수분을 수시로
보충해 주시고, 이상 증세 발생 시 즉시 관리자에게 알려 주시기 바랍니다.

3. 여름철 노면 온도 상승에 따른 타이어 점검

한낮 뜨거운 아스팔트 위를 주행하면 타이어 내부 압력이 상승하여 펑크나
파열 사고의 위험이 급증합니다.
운행 전 반드시 타이어 공기압과 마모 상태를 확인하시고, 냉각수 상태도 함께
점검해 주십시오.

어려운 현장 여건 속에서도 서로 얼굴 붉히는 일 없이 배려하며 질서를 유지해 주셔서
항상 든든합니다.
이번 W30 한 주도 건강 잃지 마시고 무사 복귀하시기를 응원하겠습니다!",신종일 부장,한진미 대리
